feedback_text,sentiment,topic,urgency,action,source
The provided software licenses expired mid-session.,negative,equipment/setup,high,inform coordinators,synthetic
The room was completely dark and the lights would not turn on.,negative,equipment/setup,high,escalate,synthetic
The microphone kept producing a high-pitched squeal.,negative,equipment/setup,medium,contact venue,synthetic
The tables were wobbly and constantly shook while typing.,negative,equipment/setup,low,contact venue,synthetic
The provided cameras for the video project were missing tripods.,negative,equipment/setup,medium,inform coordinators,synthetic
The fire extinguisher was blocked by stacked chairs.,negative,equipment/setup,high,escalate,synthetic
The remote control for the air conditioner was locked in a cabinet.,negative,equipment/setup,medium,contact venue,synthetic
The training kit contained a component that was broken and sharp.,negative,equipment/setup,high,escalate,synthetic
"We were explicitly told to bring our own laptops due to bad equipment, which was unacceptable.",negative,equipment/setup,high,inform coordinators,synthetic
The room had a strong smell of burnt plastic when the projector was on.,negative,equipment/setup,high,escalate,synthetic
The projector displayed the image upside down and no one could fix it.,negative,equipment/setup,medium,contact venue,synthetic
"The lock on the classroom door was jammed, delaying our entry.",negative,equipment/setup,medium,contact venue,synthetic
The power strip was old and sparking when plugged in.,negative,equipment/setup,high,escalate,synthetic
The computers were so slow that simple tasks took minutes.,negative,equipment/setup,high,contact venue,synthetic
"The room lacked any blinds, making the screen visibility difficult.",negative,equipment/setup,medium,contact venue,synthetic
The instructor had to borrow a marker from an attendee.,negative,equipment/setup,low,contact venue,synthetic
The specialized hardware only had half the required memory.,negative,equipment/setup,high,inform coordinators,synthetic
The room's emergency exit sign was burnt out.,negative,equipment/setup,high,escalate,synthetic
The conference phone kept dropping the calls with guest speakers.,negative,equipment/setup,high,contact venue,synthetic
"We were given two different WiFi passwords, neither of which worked.",negative,equipment/setup,high,contact venue,synthetic
The room setup was for a smaller group; not enough chairs.,negative,equipment/setup,medium,contact venue,synthetic
The flip chart paper was missing and we had to improvise.,negative,equipment/setup,low,contact venue,synthetic
The computer mouse was designed for left-handed use only.,negative,equipment/setup,low,contact venue,synthetic
The instructor's laptop stand collapsed during the lecture.,negative,equipment/setup,medium,contact venue,synthetic
The dedicated training server was unreachable for the whole afternoon session.,negative,equipment/setup,high,inform coordinators,synthetic
The room's single fan was broken and the air was stifling.,negative,equipment/setup,medium,contact venue,synthetic
The only working pen was dry and unusable.,negative,equipment/setup,low,contact venue,synthetic
The provided extension cord had exposed wiring and was a shock hazard.,negative,equipment/setup,high,escalate,synthetic
The course materials were provided on a corrupted USB drive.,negative,equipment/setup,high,inform coordinators,synthetic
"The lab computers were all running different, non-standard operating systems.",negative,equipment/setup,medium,inform coordinators,synthetic
"The instructor's laptop charger was missing, causing delays.",negative,equipment/setup,medium,contact venue,synthetic
The projection screen was visibly dirty and smudged.,negative,equipment/setup,low,contact venue,synthetic
The A/V remote was sticky and covered in food residue.,negative,equipment/setup,high,contact venue,synthetic
The specialized equipment was missing its instruction manual.,negative,equipment/setup,medium,inform coordinators,synthetic
We were placed in a room with no windows for a three-day course.,negative,equipment/setup,medium,contact venue,synthetic
The training environment kept timing out and losing progress.,negative,equipment/setup,high,inform coordinators,synthetic
"The room was clearly too big, and the acoustics were terrible.",negative,equipment/setup,low,contact venue,synthetic
"The power strip was placed in the middle of the walkway, a trip hazard.",negative,equipment/setup,high,escalate,synthetic
Only half the headphones provided actually worked.,negative,equipment/setup,medium,contact venue,synthetic
The provided software had an expired trial license.,negative,equipment/setup,high,inform coordinators,synthetic
The whiteboard erasers were worn down and left streaks.,negative,equipment/setup,low,contact venue,synthetic
The room door constantly slammed shut due to a faulty closer.,negative,equipment/setup,medium,contact venue,synthetic
The specialized input device was broken on every workstation.,negative,equipment/setup,high,inform coordinators,synthetic
The emergency lighting was not functioning during a brief power flicker.,negative,equipment/setup,high,escalate,synthetic
The computers were protected by a firewall that blocked necessary ports.,negative,equipment/setup,high,contact venue,synthetic
The room temperature swung wildly between freezing and too hot.,negative,equipment/setup,medium,contact venue,synthetic
The digital sign outside the room showed the wrong course title.,negative,equipment/setup,low,contact venue,synthetic
"The tables were designed for standing, not sitting, causing discomfort.",negative,equipment/setup,medium,contact venue,synthetic
The projector screen was cockeyed and skewed the image.,negative,equipment/setup,medium,contact venue,synthetic
"We were provided old, worn-out notepads that looked used.",negative,equipment/setup,low,contact venue,synthetic
A truly excellent and rewarding course overall.,positive,overall,low,none,synthetic
The instructor was incredibly engaging and knowledgeable.,positive,instructor,low,none,synthetic
Content was up-to-date and perfectly relevant to my job.,positive,content,low,none,synthetic
Venue provided a comfortable and professional learning environment.,positive,venue,low,none,synthetic
All IT equipment worked flawlessly; great setup.,positive,equipment/setup,low,none,synthetic
The catering was delicious and had great variety.,positive,catering,low,none,synthetic
"Perfect score on all fronts, highly satisfied.",positive,overall,low,none,synthetic
I especially appreciated the instructor’s patience and clarity.,positive,instructor,low,none,synthetic
Materials were well-organized and easy to follow.,positive,material,low,none,synthetic
The break refreshments were high quality.,positive,catering,low,none,synthetic
"A wonderful experience, exceeded expectations.",positive,overall,low,none,synthetic
The classroom had excellent natural light and temperature control.,positive,venue,low,none,synthetic
The handouts were printed perfectly and easy to read.,positive,material,low,none,synthetic
Lab computers were fast and had all the necessary software pre-installed.,positive,equipment/setup,low,none,synthetic
The instructor created a positive and interactive atmosphere.,positive,instructor,low,none,synthetic
The course content was challenging yet accessible.,positive,content,low,none,synthetic
"Venue staff (valet, reception) were polite and welcoming.",positive,venue,low,none,synthetic
"No technical hitches whatsoever, a smooth experience.",positive,equipment/setup,low,none,synthetic
Lunch was served on time and was very enjoyable.,positive,catering,low,none,synthetic
I feel much better prepared after taking this course.,positive,overall,low,none,synthetic
The instructor used excellent real-world examples.,positive,instructor,low,none,synthetic
The digital resources provided were a huge plus.,positive,material,low,none,synthetic
The room's A/V setup was clear and loud without being jarring.,positive,equipment/setup,low,none,synthetic
Highly recommend this training to anyone in the field.,positive,overall,low,none,synthetic
The content depth was exactly what I needed.,positive,content,low,none,synthetic
A five-star training from beginning to end.,positive,overall,low,none,synthetic
The instructor made complex topics easy to understand.,positive,instructor,low,none,synthetic
The venue was spacious and immaculate.,positive,venue,low,none,synthetic
The coffee machine was always stocked and working.,positive,catering,low,none,synthetic
The course manuals are a valuable resource I will use back at work.,positive,material,low,none,synthetic
The chairs were ergonomic and comfortable for long sessions.,positive,equipment/setup,low,none,synthetic
Instructor handled all questions with professionalism and grace.,positive,instructor,low,none,synthetic
This was the best-structured course I have ever attended.,positive,content,low,none,synthetic
A truly seamless logistical experience.,positive,overall,low,none,synthetic
The projectors were sharp and easy to see from any seat.,positive,equipment/setup,low,none,synthetic
Food options catered well to dietary restrictions.,positive,catering,low,none,synthetic
Fantastic location with easy access and parking.,positive,venue,low,none,synthetic
The training kit contained everything necessary for the exercises.,positive,material,low,none,synthetic
The pacing of the course was just right.,positive,content,low,none,synthetic
The instructor was inspiring and reignited my passion for the subject.,positive,instructor,low,none,synthetic
"Everything ran like clockwork, perfectly organized.",positive,overall,low,none,synthetic
Dedicated charging stations were very thoughtful and useful.,positive,equipment/setup,low,none,synthetic
The venue was clean and well-maintained.,positive,venue,low,none,synthetic
I found the practical exercises to be extremely beneficial.,positive,content,low,none,synthetic
The instructor was highly responsive to feedback.,positive,instructor,low,none,synthetic
Ample supply of pens and high-quality notepads.,positive,material,low,none,synthetic
The A/C unit kept the room at a perfect temperature.,positive,equipment/setup,low,none,synthetic
The snacks were fresh and frequently replenished.,positive,catering,low,none,synthetic
A thoroughly professional and worthwhile investment of time.,positive,overall,low,none,synthetic
The material included useful supplementary reading links.,positive,material,low,none,synthetic
The instructor’s passion for the subject was contagious.,positive,instructor,low,none,synthetic
The curriculum flow was logical and easy to absorb.,positive,content,low,none,synthetic
The venue had excellent security measures.,positive,venue,low,none,synthetic
"Excellent, reliable Wi-Fi that supported all the activities.",positive,equipment/setup,low,none,synthetic
"The lunch was gourmet quality, much appreciated.",positive,catering,low,none,synthetic
One of the best learning experiences I have had in years.,positive,overall,low,none,synthetic
The presentation slides were visually engaging and clear.,positive,material,low,none,synthetic
Instructor allowed ample time for hands-on practice.,positive,instructor,low,none,synthetic
The training room was set up perfectly for collaboration.,positive,venue,low,none,synthetic
The course provided excellent takeaways and actionable steps.,positive,content,low,none,synthetic
The audio system was crystal clear.,positive,equipment/setup,low,none,synthetic
Catering provided healthy and substantial meal choices.,positive,catering,low,none,synthetic
"The printed manuals were of an exceptional, glossy quality.",positive,material,low,none,synthetic
I learned more in two days than I expected to learn all week.,positive,overall,low,none,synthetic
The instructor was exceptionally articulate.,positive,instructor,low,none,synthetic
The venue was conveniently located near public transport.,positive,venue,low,none,synthetic
All computers booted quickly and ran the software efficiently.,positive,equipment/setup,low,none,synthetic
The course achieved a perfect balance of theory and practice.,positive,content,low,none,synthetic
The venue provided quiet zones for personal calls/work.,positive,venue,low,none,synthetic
The instructor ensured every participant felt heard.,positive,instructor,low,none,synthetic
The workbook contained useful pre- and post-course assessments.,positive,material,low,none,synthetic
Outstanding value for the money spent.,positive,overall,low,none,synthetic
The whiteboard was large and visible to everyone.,positive,equipment/setup,low,none,synthetic
Staff ensured the room was tidied quickly during breaks.,positive,venue,low,none,synthetic
The coffee was strong and helped maintain energy levels.,positive,catering,low,none,synthetic
Instructor provided individualized attention when needed.,positive,instructor,low,none,synthetic
The content was perfectly tailored to the advertised skill level.,positive,content,low,none,synthetic
The venue's signage and directions were extremely clear.,positive,venue,low,none,synthetic
The training environment interface was intuitive and user-friendly.,positive,equipment/setup,low,none,synthetic
The variety of snacks included both healthy and sweet options.,positive,catering,low,none,synthetic
Would happily take another course taught by this person.,positive,instructor,low,none,synthetic
The course material was very digestible and well-paced.,positive,material,low,none,synthetic
A truly first-class experience overall.,positive,overall,low,none,synthetic
All computers were configured exactly as needed for the lab.,positive,equipment/setup,low,none,synthetic
The venue offered easy access to clean restrooms.,positive,venue,low,none,synthetic
The course focused on highly practical skills.,positive,content,low,none,synthetic
The instructor used excellent interactive polls and quizzes.,positive,instructor,low,none,synthetic
The course notebook had ample space for my own notes.,positive,material,low,none,synthetic
The facility had great sound dampening—no outside noise.,positive,venue,low,none,synthetic
The afternoon coffee setup was greatly appreciated.,positive,catering,low,none,synthetic
This was a phenomenal use of my time and resources.,positive,overall,low,none,synthetic
The instructor was highly engaging and kept the energy high.,positive,instructor,low,none,synthetic
The curriculum flow was extremely smooth.,positive,content,low,none,synthetic
The provided screen magnifier made viewing easy for everyone.,positive,equipment/setup,low,none,synthetic
"The venue provided clean, fresh water dispensers.",positive,venue,low,none,synthetic
The printed materials contained all the necessary code snippets.,positive,material,low,none,synthetic
The organization of the whole event was masterful.,positive,overall,low,none,synthetic
The instructor was very professional and approachable.,positive,instructor,low,none,synthetic
The provided extension cords were plentiful and well-managed.,positive,equipment/setup,low,none,synthetic
Everything about this course gets a perfect 10/10.,positive,overall,low,none,synthetic
"The instructor was an absolute damn joke, completely unprofessional.",negative,instructor,high,escalate,synthetic
I am furious! The trainer made me feel stupid in front of the whole class.,negative,instructor,high,escalate,synthetic
I demand to know who hired this incompetent heck of an instructor.,negative,instructor,high,escalate,synthetic
His constant damn interruptions completely ruined the flow of the session.,negative,instructor,high,inform coordinators,synthetic
The trainer was appallingly biased and clearly playing favorites. Unacceptable!,negative,instructor,high,escalate,synthetic
I was left in a state of rage over the instructor's dismissive attitude.,negative,instructor,high,escalate,synthetic
What the hell was that performance? A total waste of time.,negative,instructor,high,escalate,synthetic
The instructor showed blatant contempt for attendees who asked basic questions. Shameful!,negative,instructor,high,inform coordinators,synthetic
I'm disgusted by the trainer's inappropriate comments. This needs action immediately.,negative,instructor,high,escalate,synthetic
The level of disrespect from the instructor was truly shocking and unacceptable.,negative,instructor,high,escalate,synthetic
This damn course leader couldn't answer basic questions about the material.,negative,instructor,high,inform coordinators,synthetic
"The instructor seemed to loathe being there, which made the whole day miserable.",negative,instructor,high,inform coordinators,synthetic
I will never attend another course taught by that individual.,negative,instructor,high,escalate,synthetic
He spent half the time on a personal rant—what the heck is going on?,negative,instructor,high,escalate,synthetic
Her attitude was beyond rude; I was on the verge of walking out.,negative,instructor,high,escalate,synthetic
The trainer violated a basic rule of professional conduct. Get them out!,negative,instructor,high,escalate,synthetic
They were absolutely unprepared and just reading off the slides. A damn ripoff.,negative,instructor,high,inform coordinators,synthetic
The instructor was overtly aggressive when challenged on a factual error.,negative,instructor,high,escalate,synthetic
I am absolutely livid about the personal insults directed at my team.,negative,instructor,high,escalate,synthetic
This was a complete dumpster fire of an instruction session. Never again.,negative,instructor,high,escalate,synthetic
"The room was a damn freezer all day, making it impossible to concentrate!",negative,venue,high,contact venue,synthetic
The noise from the construction next door was unbelievably hellish and ruined the course.,negative,venue,high,escalate,synthetic
"There was a foul, disgusting stench coming from the air vents. I feel sick.",negative,venue,high,escalate,synthetic
Venue staff were damn rude and treated us like an inconvenience.,negative,venue,high,escalate,synthetic
The security guard threatened to call the police over a minor dispute. This is appalling!,negative,venue,high,escalate,synthetic
I was absolutely livid to find rats in the hallway. Health hazard!,negative,venue,high,escalate,synthetic
The washrooms were filthy and clearly hadn't been cleaned all week. Disgusting heck!,negative,venue,high,contact venue,synthetic
"The elevator was broken, and they made us walk up 10 flights! A total damn disgrace.",negative,venue,high,contact venue,synthetic
We were locked out of the room for 30 minutes. The venue staff clearly don't give a damn.,negative,venue,high,escalate,synthetic
The emergency exit was blocked by furniture! Serious safety violation.,negative,venue,high,escalate,synthetic
"The parking situation was a nightmare, adding immense stress to the morning.",negative,venue,high,contact venue,synthetic
I am furious about the lack of accessibility. The ramp was completely unusable.,negative,venue,high,escalate,synthetic
The light over our table flickered constantly; it was an absolute torture to endure.,negative,venue,high,contact venue,synthetic
Someone was blasting music from the next room over. Incredibly distracting!,negative,venue,high,contact venue,real
The venue manager was an unhelpful damn idiot when we complained about the temperature.,negative,venue,high,escalate,synthetic
The general state of decay in the training room was unacceptable.,negative,venue,high,contact venue,synthetic
"The fire alarm went off, and the staff had no damn idea what to do. Total panic.",negative,venue,high,escalate,synthetic
"The main entrance was locked when we arrived, and we had to wait outside in the rain.",negative,venue,high,contact venue,synthetic
The water cooler was warm and tasted like heck.,negative,venue,high,contact venue,synthetic
I am livid over the staff's complete lack of organization and communication.,negative,venue,high,escalate,synthetic
"The food was raw and disgusting; I almost threw up. This is a health violation, for heck's sake.",negative,catering,high,contact venue,synthetic
"I have a serious allergy, and the caterer didn't give a damn, serving me the wrong meal.",negative,catering,high,contact venue,synthetic
The lunch was stone cold and utterly inedible. What a damn waste of money.,negative,catering,high,contact venue,synthetic
The coffee tasted like absolute hell. I am furious about the low quality.,negative,catering,high,contact venue,synthetic
They ran out of food in 15 minutes! The lack of planning is appalling!,negative,catering,high,contact venue,synthetic
I was disgusted to find hair in my dinner. Unacceptable and sickening.,negative,catering,high,contact venue,synthetic
The catering staff were aggressively rude when I asked for gluten free options,negative,catering,high,contact venue,real
They served us literal leftovers from the previous day. A damn cheap move.,negative,catering,high,contact venue,synthetic
The vegetarian option was a single dry slice of toast. I was left starving!,negative,catering,high,contact venue,synthetic
The fruit was clearly rotten. Who the heck checks the quality here?,negative,catering,high,contact venue,synthetic
I am in total disbelief at the low standard of the provided lunch.,negative,catering,high,contact venue,synthetic
My special dietary request was ignored completely. Extremely upsetting.,negative,catering,high,contact venue,synthetic
The bread was stale and the soup was lukewarm. A damn awful meal.,negative,catering,high,contact venue,synthetic
They forgot the afternoon coffee entirely. This is basic damn hospitality!,negative,catering,high,contact venue,synthetic
The food made me feel unwell for the rest of the afternoon.,negative,catering,high,contact venue,real
I was absolutely livid that there were no plates or cutlery available.,negative,catering,high,contact venue,synthetic
"The dessert was a sad, melted mess. It looked like utter garbage.",negative,catering,high,contact venue,synthetic
The caterer was constantly slouching and checking their phone during service.,negative,catering,high,contact venue,synthetic
This food is an insult to the price we paid. A damn joke.,negative,catering,high,contact venue,real
I am outraged that the beverages were all room temperature and flat.,negative,catering,high,contact venue,synthetic
The Wi-Fi was an utter damn failure and prevented all lab work. Furious!,negative,equipment/setup,high,contact venue,synthetic
"A computer exploded, and the staff acted like it was no big heck of a deal! Serious hazard!",negative,equipment/setup,high,escalate,synthetic
The air conditioning unit poured water onto the main server. The training is ruined!,negative,equipment/setup,high,escalate,synthetic
The provided headphones were covered in disgusting grime. Unsanitary and unacceptable.,negative,equipment/setup,high,contact venue,synthetic
The software licenses expired mid-lecture. This is damn incompetence!,negative,equipment/setup,high,inform coordinators,synthetic
We lost 2 hours because the lab setup was wrongly configured. I am livid.,negative,equipment/setup,high,inform coordinators,synthetic
The chairs were all wobbly and broken. A constant damn distraction.,negative,equipment/setup,high,contact venue,synthetic
The main projector screen had a giant hole in it. This setup is an appalling joke.,negative,equipment/setup,high,contact venue,synthetic
The cables were a trip hazard! Someone is going to get seriously hurt.,negative,equipment/setup,high,escalate,real
The specialized hardware was not delivered as promised. The whole practical segment is now useless. Damn!,negative,equipment/setup,high,inform coordinators,real
The keyboard keys were so sticky it was disgusting to touch them.,negative,equipment/setup,high,inform coordinators,real
The fire suppression system started randomly spraying water. Absolute hell!,negative,equipment/setup,high,escalate,synthetic
The room was clearly overbooked; we were crammed in like sardines.,negative,equipment/setup,high,escalate,synthetic
The technical support guy was zero damn help and shrugged off all our problems.,negative,equipment/setup,high,contact venue,real
"The training VMs were running at a snail's damn pace, making all work impossible.",negative,equipment/setup,high,inform coordinators,synthetic
The microphone was screeching with feedback noise. My ears are ringing.,negative,equipment/setup,high,contact venue,synthetic
I am furious that we had to use our own laptops because yours were broken.,negative,equipment/setup,high,inform coordinators,synthetic
The projector was so dim the image was almost invisible. ,negative,equipment/setup,high,contact venue,synthetic
The whiteboard markers were bone-dry. How hard is it to check supplies?,negative,equipment/setup,high,contact venue,synthetic
This entire setup is an insult to a professional course.,negative,equipment/setup,high,escalate,synthetic
I want a full refund! This whole experience was a complete and utter damn waste of company money.,negative,overall,high,escalate,synthetic
I am furious about the low quality of everything. This course is a heck of a joke.,negative,overall,high,escalate,synthetic
The entire three days were an appalling disaster and an insult to the attendees.,negative,overall,high,escalate,synthetic
I regret every single damn second I spent at this training.,negative,overall,high,escalate,synthetic
The lack of professionalism across the board is shocking and unacceptable.,negative,overall,high,escalate,synthetic
I am livid and will be reporting this to my executive leadership.,negative,overall,high,escalate,synthetic
This was a total dumpster fire. The worst training I have ever attended.,negative,overall,high,escalate,real
You people clearly don't give a damn about quality control. Shame on you!,negative,overall,high,escalate,synthetic
The entire day was a mess. A complete and utter hellish experience.,negative,overall,high,escalate,synthetic
I am disgusted by the poor organization and execution of this event.,negative,overall,high,escalate,synthetic
I demand a formal apology for this damn awful training course.,negative,overall,high,escalate,synthetic
The promises made in the brochure were all blatant lies!,negative,overall,high,escalate,real
This entire ordeal was an unmitigated disaster. My time was severely wasted.,negative,overall,high,escalate,synthetic
I have never been so angry at a training event in my entire career.,negative,overall,high,escalate,real
I am outraged by the sheer cost of this low-quality program.,negative,overall,high,escalate,synthetic
I would rather have stayed home and watched paint dry. It was a damn boring waste.,negative,overall,high,escalate,synthetic
I am ready to tear out my hair in frustration. Everything went wrong!,negative,overall,high,escalate,synthetic
This company should be ashamed of the poor service provided here.,negative,overall,high,escalate,synthetic
My boss is going to hear about this hellish day of incompetence.,negative,overall,high,escalate,real
The whole experience was nothing short of a travesty. Refund now!,negative,overall,high,escalate,synthetic
Instructor was adequate.,neutral,instructor,low,none,synthetic
The trainer did their job.,neutral,instructor,low,none,synthetic
The delivery was just fine.,neutral,instructor,low,none,synthetic
A regular trainer.,neutral,instructor,low,none,synthetic
No strong feelings about the instructor.,neutral,instructor,low,none,synthetic
Instructor seemed knowledgeable.,neutral,instructor,low,none,synthetic
Answered questions when asked.,neutral,instructor,low,none,synthetic
Pacing was neither too fast nor too slow.,neutral,instructor,low,none,synthetic
Instructor spoke clearly.,neutral,instructor,low,none,synthetic
Standard teaching style.,neutral,instructor,low,none,synthetic
The instructor was sufficient.,neutral,instructor,low,none,synthetic
Covered all the points.,neutral,instructor,low,none,synthetic
No complaints about the trainer.,neutral,instructor,low,none,synthetic
Showed up on time.,neutral,instructor,low,none,synthetic
Handled the class professionally.,neutral,instructor,low,none,synthetic
A middle-of-the-road performance.,neutral,instructor,low,none,synthetic
Did not engage much with the audience.,neutral,instructor,low,none,synthetic
The presentation was readable.,neutral,instructor,low,none,synthetic
I learned what I expected.,neutral,instructor,low,none,synthetic
The course was delivered.,neutral,instructor,low,none,synthetic
The room was okay.,neutral,venue,low,none,synthetic
A typical conference room.,neutral,venue,low,none,synthetic
Temperature was manageable.,neutral,venue,low,none,synthetic
Nothing special about the venue.,neutral,venue,low,none,synthetic
The location was accessible.,neutral,venue,low,none,synthetic
The venue was satisfactory.,neutral,venue,low,none,synthetic
Average cleanliness.,neutral,venue,low,none,synthetic
It had enough seats.,neutral,venue,low,none,synthetic
Adequate lighting for the room.,neutral,venue,low,none,synthetic
The staff seemed busy.,neutral,venue,low,none,synthetic
I found the venue easily.,neutral,venue,low,none,synthetic
The facilities were functional.,neutral,venue,low,none,synthetic
No noticeable issues with the venue.,neutral,venue,low,none,synthetic
It served its purpose.,neutral,venue,low,none,synthetic
The seating arrangement was standard.,neutral,venue,low,none,synthetic
The room size was acceptable.,neutral,venue,low,none,synthetic
The environment was neither inspiring nor dull.,neutral,venue,low,none,synthetic
Standard check-in process.,neutral,venue,low,none,synthetic
The bathroom was operational.,neutral,venue,low,none,synthetic
The signage was present.,neutral,venue,low,none,synthetic
The lunch was unremarkable.,neutral,catering,low,none,synthetic
The coffee was just coffee.,neutral,catering,low,none,synthetic
Standard continental breakfast.,neutral,catering,low,none,synthetic
It was enough food.,neutral,catering,low,none,synthetic
The snacks were pre-packaged.,neutral,catering,low,none,synthetic
Dietary options were available.,neutral,catering,low,none,synthetic
Served on time.,neutral,catering,low,none,synthetic
The water cooler was full.,neutral,catering,low,none,synthetic
Average quality sandwiches.,neutral,catering,low,none,synthetic
Catering was not a highlight.,neutral,catering,low,none,synthetic
The tea selection was limited.,neutral,catering,low,none,synthetic
Nothing to complain about the food.,neutral,catering,low,none,synthetic
Portions were adequate.,neutral,catering,low,none,synthetic
The drinks were cold.,neutral,catering,low,none,synthetic
Met expectations for conference food.,neutral,catering,low,none,synthetic
The refill station was well stocked.,neutral,catering,low,none,synthetic
I ate the food.,neutral,catering,low,none,synthetic
The break times were sufficient.,neutral,catering,low,none,synthetic
The service was efficient.,neutral,catering,low,none,synthetic
I didn't have a strong opinion on the food.,neutral,catering,low,none,synthetic
The Wi-Fi was usable.,neutral,equipment/setup,low,none,synthetic
The projector worked.,neutral,equipment/setup,low,none,synthetic
Standard computer equipment.,neutral,equipment/setup,low,none,synthetic
The screens were visible.,neutral,equipment/setup,low,none,synthetic
I had a stable internet connection.,neutral,equipment/setup,low,none,synthetic
The sound was audible.,neutral,equipment/setup,low,none,synthetic
The chairs were just okay.,neutral,equipment/setup,low,none,synthetic
Power outlets were provided.,neutral,equipment/setup,low,none,synthetic
No major technical difficulties.,neutral,equipment/setup,low,none,synthetic
Setup was as expected.,neutral,equipment/setup,low,none,synthetic
The mic worked when needed.,neutral,equipment/setup,low,none,synthetic
Software ran without crashing.,neutral,equipment/setup,low,none,synthetic
The lighting was sufficient for reading.,neutral,equipment/setup,low,none,synthetic
The equipment was standard.,neutral,equipment/setup,low,none,synthetic
I did not use the lab computers.,neutral,equipment/setup,low,none,synthetic
The presentation clicker worked.,neutral,equipment/setup,low,none,synthetic
Nothing broke down.,neutral,equipment/setup,low,none,synthetic
The room was set up quickly.,neutral,equipment/setup,low,none,synthetic
Headsets were provided.,neutral,equipment/setup,low,none,synthetic
The desk space was sufficient.,neutral,equipment/setup,low,none,synthetic
The material was acceptable.,neutral,material,low,none,synthetic
The content was what I expected.,neutral,content,low,none,synthetic
Neither groundbreaking nor outdated.,neutral,content,low,none,synthetic
The workbook was handy.,neutral,material,low,none,synthetic
The topics were covered.,neutral,content,low,none,synthetic
I already knew some of the information.,neutral,content,low,none,synthetic
The slides were clearly formatted.,neutral,material,low,none,synthetic
The pace of the curriculum was fine.,neutral,content,low,none,synthetic
The material was sufficient.,neutral,material,low,none,synthetic
I will use the content later.,neutral,content,low,none,synthetic
The handouts were printed.,neutral,material,low,none,synthetic
The length of the course was normal.,neutral,content,low,none,synthetic
I have no comment on the content quality.,neutral,content,low,none,synthetic
The flow of topics was logical.,neutral,content,low,none,synthetic
The supporting exercises were basic.,neutral,content,low,none,synthetic
A decent overview of the subject.,neutral,content,low,none,synthetic
The structure was standard.,neutral,content,low,none,synthetic
The textbook will be useful.,neutral,material,low,none,synthetic
The depth of content was fine.,neutral,content,low,none,synthetic
I got what I paid for.,neutral,overall,low,none,synthetic
