feedback_text,sentiment,topic,urgency,action,source
The snacks were pre-packaged.,neutral,catering,low,none,synthetic
"The instructor seemed to loathe being there, which made the whole day miserable.",negative,instructor,high,inform coordinators,synthetic
A cleaner was vacuuming right next to the classroom door during a session.,negative,venue,high,contact venue,synthetic
Only half the headphones provided actually worked.,negative,equipment/setup,medium,contact venue,synthetic
Instructor stormed out of the room mid-session.,negative,instructor,high,escalate,synthetic
"Poor quality, inedible food options",negative,catering,high,contact venue,synthetic
I think Coverage aligned with the course outline,positive,content,low,none,real
The workbook was handy.,neutral,material,low,none,synthetic
 Everything went smoothly and according to plan,positive,overall,low,none,real
The sound was audible.,neutral,equipment/setup,low,none,synthetic
Very professional and helpful instructor,positive,instructor,low,none,synthetic
Content was extremely well paced.,positive,content,low,none,synthetic
My expectations were thoroughly surpassed.,positive,overall,low,none,synthetic
The provided mice were erratic and made precision work impossible.,negative,equipment/setup,medium,contact venue,synthetic
I think Microphone kept cutting out when moving around,negative,equipment/setup,high,inform coordinators,real
Material was acceptable,neutral,material,low,none,synthetic
It was what I expected,positive,overall,low,none,synthetic
The computers were so slow that simple tasks took minutes.,negative,equipment/setup,high,contact venue,synthetic
Course exceeded my expectations.,positive,overall,low,none,synthetic
The software installation required administrator passwords that were not provided.,negative,equipment/setup,high,inform coordinators,synthetic
A middle-of-the-road performance.,neutral,instructor,low,none,synthetic
Handled questions patiently and thoroughly,positive,instructor,low,none,real
"The presentation software crashed every 30 minutes, wasting significant time.",negative,equipment/setup,high,contact venue,synthetic
"The food was raw and disgusting; I almost threw up. This is a health violation, for heck's sake.",negative,catering,high,contact venue,synthetic
The light over our table flickered constantly; it was an absolute torture to endure.,negative,venue,high,contact venue,synthetic
The staff seemed busy.,neutral,venue,low,none,synthetic
"Air conditioning was set too high all five days, making it very uncomfortable.",negative,venue,high,contact venue,synthetic
The facilities were functional.,neutral,venue,low,none,synthetic
This was a complete dumpster fire of an instruction session. Never again.,negative,instructor,high,escalate,synthetic
The seating arrangement was standard.,neutral,venue,low,none,synthetic
"The elevator was broken, and they made us walk up 10 flights! A total damn disgrace.",negative,venue,high,contact venue,synthetic
Insufficient power outlets for the number of participants.,negative,equipment/setup,medium,contact venue,synthetic
Nothing broke down.,neutral,equipment/setup,low,none,synthetic
The projectors were sharp and easy to see from any seat.,positive,equipment/setup,low,none,synthetic
Digital resources were disorganized and hard to navigate.,negative,material,medium,inform coordinators,synthetic
The chairs were all wobbly and broken. A constant damn distraction.,negative,equipment/setup,high,contact venue,synthetic
The specialized hardware only had half the required memory.,negative,equipment/setup,high,inform coordinators,synthetic
The digital resources provided were a huge plus.,positive,material,low,none,synthetic
"As the trainer, Too much hallway noise disrupted the session",negative,venue,medium,contact venue,real
The course instructor was highly knowledgeable and helped me to challenge myself throughout the 5 days.,positive,instructor,low,none,synthetic
The delivery was just fine.,neutral,instructor,low,none,synthetic
It delivered on the basic promise.,neutral,overall,low,none,synthetic
The practical exercises for the 5-day course were very relevant to our current needs. Excellent!,positive,content,low,none,synthetic
"I have a serious allergy, and the caterer didn't give a damn, serving me the wrong meal.",negative,catering,high,contact venue,synthetic
Instructor was openly hostile towards female attendees.,negative,instructor,high,escalate,synthetic
The air conditioning unit started leaking water onto the equipment.,negative,equipment/setup,high,escalate,synthetic
The room was okay.,neutral,venue,low,none,synthetic
"A standard course, nothing exceptional.",neutral,overall,low,none,synthetic
"Venue lighting was too dim, causing eye strain.",negative,venue,high,contact venue,synthetic
The manual organization was confusing.,negative,material,medium,modify course content,synthetic
All the provided desktop computers were infected with a virus.,negative,equipment/setup,high,contact venue,synthetic
Microphone batteries died repeatedly and were not kept charged.,negative,equipment/setup,high,contact venue,synthetic
The Wi-Fi for the group activities was extremely unreliable,negative,equipment/setup,high,contact venue,synthetic
The projector worked.,neutral,equipment/setup,low,none,synthetic
The air conditioning unit poured water onto the main server. The training is ruined!,negative,equipment/setup,high,escalate,synthetic
"The tables were designed for standing, not sitting, causing discomfort.",negative,equipment/setup,medium,contact venue,synthetic
Staff were using the presentation room computer during lunch.,negative,venue,low,contact venue,synthetic
The chairs were ergonomic and comfortable for long sessions.,positive,equipment/setup,low,none,synthetic
The material was sufficient.,neutral,material,low,none,synthetic
Standard continental breakfast.,neutral,catering,low,none,synthetic
The supporting exercises were basic.,neutral,content,low,none,synthetic
They ran out of food in 15 minutes! The lack of planning is appalling!,negative,catering,high,contact venue,synthetic
I demand a formal apology for this damn awful training course.,negative,overall,high,escalate,synthetic
I regret every single damn second I spent at this training.,negative,overall,high,escalate,synthetic
The course material was very digestible and well-paced.,positive,material,low,none,synthetic
I demand to know who hired this incompetent heck of an instructor.,negative,instructor,high,escalate,synthetic
Not worth the price paid,negative,overall,high,escalate,real
Room was too small for our 10-day group size.,negative,venue,high,contact venue,synthetic
 Materials were standard,neutral,material,low,none,synthetic
The material included useful supplementary reading links.,positive,material,low,none,synthetic
Everything went smoothly and according to plan,positive,overall,low,none,real
The venue was conveniently located near public transport.,positive,venue,low,none,synthetic
"Demo machine was running extremely slow, wasting a lot of time",negative,equipment/setup,high,inform coordinators,synthetic
This entire ordeal was an unmitigated disaster. My time was severely wasted.,negative,overall,high,escalate,synthetic
The lack of professionalism across the board is shocking and unacceptable.,negative,overall,high,escalate,synthetic
Met expectations for conference food.,neutral,catering,low,none,synthetic
Very little variety of food options,negative,catering,medium,contact venue,real
The facility had great sound dampening—no outside noise.,positive,venue,low,none,synthetic
Trainer was highly engaging for the whole 10 days.,positive,instructor,low,none,synthetic
Everything about this course gets a perfect 10/10.,positive,overall,low,none,synthetic
The training environment kept timing out and losing progress.,negative,equipment/setup,high,inform coordinators,synthetic
The training environment interface was intuitive and user-friendly.,positive,equipment/setup,low,none,synthetic
Instructor spoke clearly.,neutral,instructor,low,none,synthetic
The venue part was neither good nor bad,neutral,venue,low,none,synthetic
The provided headphones were dirty and uncomfortable.,negative,equipment/setup,low,contact venue,synthetic
"Safety equipment (goggles, gloves) was not provided for the practical segment.",negative,equipment/setup,high,escalate,synthetic
I am livid and will be reporting this to my executive leadership.,negative,overall,high,escalate,synthetic
We faced limited seating during the setup but it got solved,negative,equipment/setup,low,inform coordinators,synthetic
No variety of food options,negative,catering,medium,contact venue,real
The main projector screen had a giant hole in it. This setup is an appalling joke.,negative,equipment/setup,high,contact venue,synthetic
The course was delivered.,neutral,instructor,low,none,synthetic
"The main entrance was locked when we arrived, and we had to wait outside in the rain.",negative,venue,high,contact venue,synthetic
Outstanding value for the money spent.,positive,overall,low,none,synthetic
Tone came across as dismissive of questions,negative,instructor,high,inform coordinators,real
The provided extension cords were plentiful and well-managed.,positive,equipment/setup,low,none,synthetic
The video conferencing system failed for the remote participants.,negative,equipment/setup,high,contact venue,synthetic
The venue was spacious and immaculate.,positive,venue,low,none,synthetic
Topics were interesting but a bit repetitive,negative,content,low,modify course content,real
HDMI cables were loose and caused screen flickers,negative,equipment/setup,low,inform instructor,real
The printed materials were for an entirely different course,negative,material,medium,inform coordinators,synthetic
Materials were clear and well organized,positive,material,low,none,real
Chairs were uncomfortable for long sessions,negative,venue,high,contact venue,real
The instructor was sufficient.,neutral,instructor,low,none,synthetic
I felt a bit rushed in the last two days of the 10-day course; we needed more time to absorb the advanced material.,negative,overall,medium,modify course content,synthetic
The instructor created a positive and interactive atmosphere.,positive,instructor,low,none,synthetic
The charging station for laptops was non-functional.,negative,equipment/setup,medium,contact venue,synthetic
The best training I have attended this year.,positive,overall,low,none,synthetic
"The ventilation system was poor, making the air stale and stuffy.",negative,equipment/setup,medium,contact venue,synthetic
The Wi-Fi access point was easily overloaded and kicked people off.,negative,equipment/setup,high,contact venue,synthetic
The instructor was overtly aggressive when challenged on a factual error.,negative,instructor,high,escalate,synthetic
Highly recommend this training to anyone in the field.,positive,overall,low,none,synthetic
Great delivery and facilitation,positive,instructor,low,none,real
Case studies were practical and well chosen,positive,content,low,none,real
The digital sign outside the room showed the wrong course title.,negative,equipment/setup,low,contact venue,synthetic
The room was clearly overbooked; we were crammed in like sardines.,negative,equipment/setup,high,escalate,synthetic
Room size was too small for the group,negative,venue,medium,contact venue,real
The desk space was sufficient.,neutral,equipment/setup,low,none,synthetic
Ample supply of pens and high-quality notepads.,positive,material,low,none,synthetic
"From my side, I would totally recommend this company to colleagues",positive,overall,low,none,real
Room temp is hot,negative,venue,high,contact venue,real
I think Very little variety of food options,negative,catering,medium,contact venue,synthetic
"Technical setup was flawless, great job!",positive,equipment/setup,low,none,real
"No technical hitches whatsoever, a smooth experience.",positive,equipment/setup,low,none,synthetic
The interactive whiteboard was uncalibrated and unusable.,negative,equipment/setup,medium,contact venue,synthetic
"Too many personal anecdotes, not enough focus on the topic",negative,instructor,medium,inform instructor,synthetic
Please contact venue since this affects the equipment/setup quality,neutral,equipment/setup,high,contact venue,synthetic
 Important topics were skipped,negative,content,high,escalate,real
Cleaning staff entered the room loudly mid-lecture.,negative,venue,medium,contact venue,synthetic
The room setup allowed for easy movement.,positive,venue,low,none,synthetic
Good coffee and tea provided during the 5 days.,positive,catering,low,none,synthetic
"The room was clearly too big, and the acoustics were terrible.",negative,equipment/setup,low,contact venue,synthetic
"The instructor's laptop charger was missing, causing delays.",negative,equipment/setup,medium,contact venue,synthetic
The textbook will be useful.,neutral,material,low,none,synthetic
Temperature control was inconsistent in the room.,negative,venue,medium,contact venue,synthetic
The setup was seamless and efficient,positive,equipment/setup,low,none,synthetic
I think Venue was convenient and comfortable,positive,venue,low,none,synthetic
Would happily take another course taught by this person.,positive,instructor,low,none,synthetic
"There was a rat's nest of tangled wires under the table, which was unsafe.",negative,equipment/setup,high,escalate,synthetic
The instructor was incredibly engaging and knowledgeable.,positive,instructor,low,none,synthetic
Instructor was professional and very knowledgeable,positive,instructor,low,none,real
This was a phenomenal use of my time and resources.,positive,overall,low,none,synthetic
"The overhead lights flickered constantly, causing eye strain.",negative,equipment/setup,high,contact venue,synthetic
Room size is small,negative,venue,high,contact venue,real
Catering was not a highlight.,neutral,catering,low,none,synthetic
The instructor used excellent interactive polls and quizzes.,positive,instructor,low,none,synthetic
 Explanations were unclear in several parts,negative,instructor,medium,inform coordinators,real
A very disappointing and unorganized event,negative,overall,high,escalate,synthetic
The lunch portion was too small for everyone,negative,catering,high,contact venue,real
A truly seamless logistical experience.,positive,overall,low,none,synthetic
The microphone kept producing a high-pitched squeal.,negative,equipment/setup,medium,contact venue,synthetic
"The lab computers were all running different, non-standard operating systems.",negative,equipment/setup,medium,inform coordinators,synthetic
It was generally fine.,neutral,overall,low,none,synthetic
Pace was too slow for the group,negative,content,medium,inform instructor,real
A staff member was seen taking photos of attendees during the break.,negative,venue,high,escalate,synthetic
The afternoon coffee setup was greatly appreciated.,positive,catering,low,none,synthetic
A staff member was listening in on a private conversation near the door.,negative,venue,medium,contact venue,synthetic
Lunch was dry and cold.,negative,catering,high,contact venue,synthetic
AC is so cold,negative,venue,high,contact venue,real
The instructor yelled at a participant for correcting a slide.,negative,instructor,high,escalate,synthetic
I was absolutely livid to find rats in the hallway. Health hazard!,negative,venue,high,escalate,synthetic
The room arrangement made it impossible to see the screen from the back.,negative,equipment/setup,medium,contact venue,synthetic
The course was a perfect blend of theory and practice.,positive,content,low,none,synthetic
I think Important topics were skipped,negative,content,high,escalate,synthetic
The flow of topics was logical.,neutral,content,low,none,synthetic
The fire suppression system started randomly spraying water. Absolute hell!,negative,equipment/setup,high,escalate,synthetic
The break refreshments were high quality.,positive,catering,low,none,synthetic
Neither groundbreaking nor outdated.,neutral,content,low,none,synthetic
The course manuals are a valuable resource I will use back at work.,positive,material,low,none,synthetic
Very useful and informative 5-day course.,positive,overall,low,none,synthetic
The instructor was highly engaging and kept the energy high.,positive,instructor,low,none,synthetic
The course notebook had ample space for my own notes.,positive,material,low,none,synthetic
Covered all the points.,neutral,instructor,low,none,synthetic
Fast Wi-Fi and good projector quality,positive,equipment/setup,low,none,synthetic
The location was accessible.,neutral,venue,low,none,synthetic
A truly excellent and rewarding course overall.,positive,overall,low,none,synthetic
Answered questions when asked.,neutral,instructor,low,none,synthetic
Food options catered well to dietary restrictions.,positive,catering,low,none,synthetic
Examples were not relevant to our context,negative,content,medium,inform instructor,real
"We were provided old, worn-out notepads that looked used.",negative,equipment/setup,low,contact venue,synthetic
The course focused on highly practical skills.,positive,content,low,none,synthetic
Trainer was very supportive.,positive,instructor,low,none,synthetic
too much theory,negative,content,high,inform instructor,real
Excellent selection of snacks during the break.,positive,catering,low,none,synthetic
We were placed in a room with no windows for a three-day course.,negative,equipment/setup,medium,contact venue,synthetic
The session was boring; hard to stay engaged,negative,content,high,inform instructor,synthetic
Check-in process at the venue was fast and simple.,positive,venue,low,none,synthetic
The course workbook is a great reference,positive,material,low,none,synthetic
The HDMI cable was faulty and kept cutting out the display.,negative,equipment/setup,medium,contact venue,synthetic
There was not enough desk space to open the large manuals.,negative,equipment/setup,medium,contact venue,synthetic
"Venue staff (valet, reception) were polite and welcoming.",positive,venue,low,none,synthetic
Catering server was openly complaining about their job to attendees.,negative,catering,low,contact venue,synthetic
Trainer was clearly passionate about the subject.,positive,instructor,low,none,synthetic
This was a total dumpster fire. The worst training I have ever attended.,negative,overall,high,escalate,real
I think Equipment was adequate,neutral,equipment/setup,low,none,real
The entire day was a mess. A complete and utter hellish experience.,negative,overall,high,escalate,synthetic
Everything worked as expected; smooth setup,positive,equipment/setup,low,none,real
I am indifferent about the training outcome.,neutral,overall,low,none,synthetic
"From my side, Disappointed with the overall experience",negative,overall,high,escalate,real
The specialized equipment was missing its instruction manual.,negative,equipment/setup,medium,inform coordinators,synthetic
The trainer was visibly aggressive when questioned.,negative,instructor,high,escalate,synthetic
The instructor showed clear bias against certain questions,negative,instructor,high,inform coordinators,synthetic
The room door constantly slammed shut due to a faulty closer.,negative,equipment/setup,medium,contact venue,synthetic
Lunch arrived late and was cold,negative,catering,high,contact venue,real
I am livid over the staff's complete lack of organization and communication.,negative,venue,high,escalate,synthetic
we need more breaks,negative,overall,medium,inform coordinators,real
The venue was satisfactory.,neutral,venue,low,none,synthetic
I think No comment,neutral,overall,low,none,real
Topics were interesting and engaging,positive,content,low,none,real
"Too many theoretical sections, needs more case studies.",negative,content,medium,modify course content,synthetic
The projector displayed the image upside down and no one could fix it.,negative,equipment/setup,medium,contact venue,synthetic
I think Venue was fine; nothing special,neutral,venue,low,none,real
